Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage-kWh,Electricity usage z-score,Solar electricity generation z-score,bought electricity,excess solar
0,2020-01-01 00:00:00,0.0,1.509849,1.509849,0.0,1.509849,
1,2020-01-01 01:00:00,0.0,1.4118588,1.4118588,0.0,1.4118588,
2,2020-01-01 02:00:00,0.0,1.0238976,1.0238976,0.0,1.0238976,
3,2020-01-01 03:00:00,0.0,0.642,0.642,0.0,0.642,
4,2020-01-01 04:00:00,0.0,0.96,0.96,0.0,0.96,
5,2020-01-01 05:00:00,0.012,0.897,0.897,0.012,0.885,
6,2020-01-01 06:00:00,0.006,0.648,0.648,0.006,0.642,
7,2020-01-01 07:00:00,0.009,0.774,0.774,0.009,0.765,
8,2020-01-01 08:00:00,0.012,1.299,1.299,0.012,1.287,
9,2020-01-01 09:00:00,0.846,0.606,0.606,0.846,,0.24
10,2020-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-01 12:00:00,0.651,0.396,0.396,0.651,,0.255
13,2020-01-01 13:00:00,0.363,0.615,0.615,0.363,0.252,
14,2020-01-01 14:00:00,0.303,1.419,1.419,0.303,1.116,
15,2020-01-01 15:00:00,0.159,1.437,1.437,0.159,1.278,
16,2020-01-01 16:00:00,0.081,3.105,3.105,0.081,3.024,
17,2020-01-01 17:00:00,0.006,-12.624,,0.006,,12.63
18,2020-01-01 18:00:00,0.0,8.9298,8.9298,0.0,8.9298,
19,2020-01-01 19:00:00,0.021,2.2176,2.2176,0.021,2.1966,
20,2020-01-01 20:00:00,0.003,4.4286,4.4286,0.003,4.4256,
21,2020-01-01 21:00:00,0.003,6.789,6.789,0.003,6.786,
22,2020-01-01 22:00:00,0.006,1.806,1.806,0.006,1.8,
23,2020-01-01 23:00:00,0.0,0.9359064,0.9359064,0.0,0.9359064,
0,2020-01-02 00:00:00,0.0,0.7339266,0.7339266,0.0,0.7339266,
1,2020-01-02 01:00:00,0.0,0.3079692,0.3079692,0.0,0.3079692,
2,2020-01-02 02:00:00,0.0,0.1979802,0.1979802,0.0,0.1979802,
3,2020-01-02 03:00:00,0.0,0.267,0.267,0.0,0.267,
4,2020-01-02 04:00:00,0.0,0.162,0.162,0.0,0.162,
5,2020-01-02 05:00:00,0.012,0.216,0.216,0.012,0.204,
6,2020-01-02 06:00:00,0.015,0.213,0.213,0.015,0.198,
7,2020-01-02 07:00:00,0.0,0.804,0.804,0.0,0.804,
8,2020-01-02 08:00:00,0.027,1.179,1.179,0.027,1.1520000000000001,
9,2020-01-02 09:00:00,0.276,2.601,2.601,0.276,2.325,
10,2020-01-02 10:00:00,0.243,1.38,1.38,0.243,1.137,
11,2020-01-02 11:00:00,0.498,1.536,1.536,0.498,1.038,
12,2020-01-02 12:00:00,0.399,1.596,1.596,0.399,1.197,
13,2020-01-02 13:00:00,0.504,22.5,,0.504,21.996,
14,2020-01-02 14:00:00,0.159,1.596,1.596,0.159,1.437,
15,2020-01-02 15:00:00,0.057,0.564,0.564,0.057,0.5069999999999999,
16,2020-01-02 16:00:00,0.0,5.562,5.562,0.0,5.562,
17,2020-01-02 17:00:00,0.015,1.389,1.389,0.015,1.374,
18,2020-01-02 18:00:00,0.0,13.233,13.233,0.0,13.233,
19,2020-01-02 19:00:00,0.018,7.8672,7.8672,0.018,7.849200000000001,
20,2020-01-02 20:00:00,0.012,2.6334,2.6334,0.012,2.6214,
21,2020-01-02 21:00:00,0.006,1.362,1.362,0.006,1.356,
22,2020-01-02 22:00:00,0.018,1.575,1.575,0.018,1.557,
23,2020-01-02 23:00:00,0.0,1.2018798,1.2018798,0.0,1.2018798,
0,2020-01-03 00:00:00,0.0,1.689,1.689,0.0,1.689,
1,2020-01-03 01:00:00,0.0,0.8679132,0.8679132,0.0,0.8679132,
2,2020-01-03 02:00:00,0.0,0.4179582,0.4179582,0.0,0.4179582,
3,2020-01-03 03:00:00,0.0,0.288,0.288,0.0,0.288,
4,2020-01-03 04:00:00,0.0,0.186,0.186,0.0,0.186,
5,2020-01-03 05:00:00,0.009,0.474,0.474,0.009,0.46499999999999997,
6,2020-01-03 06:00:00,0.012,0.459,0.459,0.012,0.447,
7,2020-01-03 07:00:00,0.027,0.591,0.591,0.027,0.564,
8,2020-01-03 08:00:00,0.003,10.053,10.053,0.003,10.05,
9,2020-01-03 09:00:00,0.357,8.202,8.202,0.357,7.845,
10,2020-01-03 10:00:00,1.086,0.897,0.897,1.086,,0.18900000000000006
11,2020-01-03 11:00:00,0.993,0.726,0.726,0.993,,0.267
12,2020-01-03 12:00:00,2.031,0.36,0.36,2.031,,1.6710000000000003
13,2020-01-03 13:00:00,3.336,0.048,0.048,3.336,,3.288
14,2020-01-03 14:00:00,1.044,0.225,0.225,1.044,,0.8190000000000001
15,2020-01-03 15:00:00,0.342,2.349,2.349,0.342,2.007,
16,2020-01-03 16:00:00,0.033,2.439,2.439,0.033,2.406,
17,2020-01-03 17:00:00,0.009,2.169,2.169,0.009,2.16,
18,2020-01-03 18:00:00,0.0,4.8114,4.8114,0.0,4.8114,
19,2020-01-03 19:00:00,0.015,15.51,15.51,0.015,15.495,
20,2020-01-03 20:00:00,0.0,5.9796,5.9796,0.0,5.9796,
21,2020-01-03 21:00:00,0.018,3.081,3.081,0.018,3.063,
22,2020-01-03 22:00:00,0.006,2.484,2.484,0.006,2.478,
23,2020-01-03 23:00:00,0.0,2.7825,2.7825,0.0,2.7825,
0,2020-01-04 00:00:00,0.0,1.7538246,1.7538246,0.0,1.7538246,
1,2020-01-04 01:00:00,0.0,0.889911,0.889911,0.0,0.889911,
2,2020-01-04 02:00:00,0.0,0.2919708,0.2919708,0.0,0.2919708,
3,2020-01-04 03:00:00,0.0,0.189,0.189,0.0,0.189,
4,2020-01-04 04:00:00,0.0,0.195,0.195,0.0,0.195,
5,2020-01-04 05:00:00,0.009,0.477,0.477,0.009,0.46799999999999997,
6,2020-01-04 06:00:00,0.009,0.228,0.228,0.009,0.219,
7,2020-01-04 07:00:00,0.012,5.256,5.256,0.012,5.244000000000001,
8,2020-01-04 08:00:00,0.003,2.481,2.481,0.003,2.4779999999999998,
9,2020-01-04 09:00:00,0.201,0.57,0.57,0.201,0.36899999999999994,
10,2020-01-04 10:00:00,0.201,0.747,0.747,0.201,0.546,
11,2020-01-04 11:00:00,0.186,0.219,0.219,0.186,0.033,
12,2020-01-04 12:00:00,1.122,0.462,0.462,1.122,,0.6600000000000001
13,2020-01-04 13:00:00,0.885,0.204,0.204,0.885,,0.681
14,2020-01-04 14:00:00,0.318,0.237,0.237,0.318,,0.08100000000000002
15,2020-01-04 15:00:00,0.18,0.354,0.354,0.18,0.174,
16,2020-01-04 16:00:00,0.033,0.609,0.609,0.033,0.576,
17,2020-01-04 17:00:00,0.015,0.309,0.309,0.015,0.294,
18,2020-01-04 18:00:00,0.003,0.6798,0.6798,0.003,0.6768,
19,2020-01-04 19:00:00,0.003,14.0184,14.0184,0.003,14.0154,
20,2020-01-04 20:00:00,0.006,3.0822,3.0822,0.006,3.0762,
21,2020-01-04 21:00:00,0.003,1.464,1.464,0.003,1.461,
22,2020-01-04 22:00:00,0.0,1.518,1.518,0.0,1.518,
23,2020-01-04 23:00:00,0.0,1.491,1.491,0.0,1.491,
0,2020-01-05 00:00:00,0.0,0.9819018,0.9819018,0.0,0.9819018,
1,2020-01-05 01:00:00,0.0,0.659934,0.659934,0.0,0.659934,
2,2020-01-05 02:00:00,0.0,0.1319868,0.1319868,0.0,0.1319868,
3,2020-01-05 03:00:00,0.0,0.189,0.189,0.0,0.189,
4,2020-01-05 04:00:00,0.0,0.201,0.201,0.0,0.201,
5,2020-01-05 05:00:00,0.006,0.222,0.222,0.006,0.216,
6,2020-01-05 06:00:00,0.009,0.588,0.588,0.009,0.579,
7,2020-01-05 07:00:00,0.015,2.643,2.643,0.015,2.6279999999999997,
8,2020-01-05 08:00:00,0.003,1.461,1.461,0.003,1.4580000000000002,
9,2020-01-05 09:00:00,0.006,0.465,0.465,0.006,0.459,
10,2020-01-05 10:00:00,0.291,0.243,0.243,0.291,,0.04799999999999999
11,2020-01-05 11:00:00,0.372,0.234,0.234,0.372,,0.13799999999999998
12,2020-01-05 12:00:00,1.005,0.204,0.204,1.005,,0.8009999999999999
13,2020-01-05 13:00:00,0.921,0.456,0.456,0.921,,0.465
14,2020-01-05 14:00:00,2.616,0.255,0.255,2.616,,2.361
15,2020-01-05 15:00:00,0.288,0.234,0.234,0.288,,0.053999999999999965
16,2020-01-05 16:00:00,0.039,0.561,0.561,0.039,0.522,
17,2020-01-05 17:00:00,0.012,0.468,0.468,0.012,0.456,
18,2020-01-05 18:00:00,0.009,23.5224,,0.009,23.5134,
19,2020-01-05 19:00:00,0.006,2.673,2.673,0.006,2.6670000000000003,
20,2020-01-05 20:00:00,0.006,2.9172,2.9172,0.006,2.9112,
21,2020-01-05 21:00:00,0.0,1.266,1.266,0.0,1.266,
22,2020-01-05 22:00:00,0.018,1.236,1.236,0.018,1.218,
23,2020-01-05 23:00:00,0.0,0.8919108,0.8919108,0.0,0.8919108,
0,2020-01-06 00:00:00,0.0,1.287,1.287,0.0,1.287,
1,2020-01-06 01:00:00,0.0,4.669,4.669,0.0,4.669,
2,2020-01-06 02:00:00,0.0,0.309969,0.309969,0.0,0.309969,
3,2020-01-06 03:00:00,0.0,0.201,0.201,0.0,0.201,
4,2020-01-06 04:00:00,0.0,0.195,0.195,0.0,0.195,
5,2020-01-06 05:00:00,0.0,1.017,1.017,0.0,1.017,
6,2020-01-06 06:00:00,0.0,0.579,0.579,0.0,0.579,
7,2020-01-06 07:00:00,0.012,0.333,0.333,0.012,0.321,
8,2020-01-06 08:00:00,0.003,0.72,0.72,0.003,0.717,
9,2020-01-06 09:00:00,0.684,0.798,0.798,0.684,0.11399999999999999,
10,2020-01-06 10:00:00,1.407,0.291,0.291,1.407,,1.116
11,2020-01-06 11:00:00,1.494,0.906,0.906,1.494,,0.588
12,2020-01-06 12:00:00,1.854,0.627,0.627,1.854,,1.227
13,2020-01-06 13:00:00,1.38,0.9,0.9,1.38,,0.47999999999999987
14,2020-01-06 14:00:00,0.465,0.909,0.909,0.465,0.444,
15,2020-01-06 15:00:00,0.342,0.258,0.258,0.342,,0.08400000000000002
16,2020-01-06 16:00:00,0.036,0.264,0.264,0.036,0.228,
17,2020-01-06 17:00:00,0.006,0.489,0.489,0.006,0.483,
18,2020-01-06 18:00:00,0.0,1.3134,1.3134,0.0,1.3134,
19,2020-01-06 19:00:00,0.006,22.407,,0.006,22.401,
20,2020-01-06 20:00:00,0.003,4.6134,4.6134,0.003,4.6104,
21,2020-01-06 21:00:00,0.018,1.971,1.971,0.018,1.953,
22,2020-01-06 22:00:00,0.012,2.061,2.061,0.012,2.049,
23,2020-01-06 23:00:00,0.0,1.169883,1.169883,0.0,1.169883,
0,2020-01-07 00:00:00,0.0,0.9859014,0.9859014,0.0,0.9859014,
1,2020-01-07 01:00:00,0.0,0.8159184,0.8159184,0.0,0.8159184,
2,2020-01-07 02:00:00,0.0,0.9119088,0.9119088,0.0,0.9119088,
3,2020-01-07 03:00:00,0.0,1.638,1.638,0.0,1.638,
4,2020-01-07 04:00:00,0.0,0.219,0.219,0.0,0.219,
5,2020-01-07 05:00:00,0.006,0.252,0.252,0.006,0.246,
6,2020-01-07 06:00:00,0.018,0.267,0.267,0.018,0.24900000000000003,
7,2020-01-07 07:00:00,0.018,0.246,0.246,0.018,0.228,
8,2020-01-07 08:00:00,0.003,0.768,0.768,0.003,0.765,
9,2020-01-07 09:00:00,0.603,0.957,0.957,0.603,0.354,
10,2020-01-07 10:00:00,0.96,0.567,0.567,0.96,,0.393
11,2020-01-07 11:00:00,2.454,0.522,0.522,2.454,,1.9320000000000002
12,2020-01-07 12:00:00,5.001,0.438,0.438,5.001,,4.563000000000001
13,2020-01-07 13:00:00,3.969,0.012,0.012,3.969,,3.957
14,2020-01-07 14:00:00,2.841,26.454,,2.841,23.613,
15,2020-01-07 15:00:00,0.264,1.659,1.659,0.264,1.395,
16,2020-01-07 16:00:00,0.048,1.965,1.965,0.048,1.917,
17,2020-01-07 17:00:00,0.009,2.508,2.508,0.009,2.499,
18,2020-01-07 18:00:00,0.012,13.8732,13.8732,0.012,13.8612,
19,2020-01-07 19:00:00,0.009,2.7786,2.7786,0.009,2.7696,
20,2020-01-07 20:00:00,0.015,1.8546,1.8546,0.015,1.8396000000000001,
21,2020-01-07 21:00:00,0.003,0.789,0.789,0.003,0.786,
22,2020-01-07 22:00:00,0.015,2.364,2.364,0.015,2.3489999999999998,
23,2020-01-07 23:00:00,0.0,1.5765,1.5765,0.0,1.5765,
0,2020-01-08 00:00:00,0.0,1.5758424,1.5758424,0.0,1.5758424,
1,2020-01-08 01:00:00,0.0,0.389961,0.389961,0.0,0.389961,
2,2020-01-08 02:00:00,0.0,0.1339866,0.1339866,0.0,0.1339866,
3,2020-01-08 03:00:00,0.0,0.198,0.198,0.0,0.198,
4,2020-01-08 04:00:00,0.0,0.183,0.183,0.0,0.183,
5,2020-01-08 05:00:00,0.018,0.219,0.219,0.018,0.201,
6,2020-01-08 06:00:00,0.003,0.468,0.468,0.003,0.465,
7,2020-01-08 07:00:00,0.012,0.762,0.762,0.012,0.75,
8,2020-01-08 08:00:00,0.0,1.365,1.365,0.0,1.365,
9,2020-01-08 09:00:00,0.006,0.69,0.69,0.006,0.6839999999999999,
10,2020-01-08 10:00:00,0.15,0.699,0.699,0.15,0.5489999999999999,
11,2020-01-08 11:00:00,0.207,0.54,0.54,0.207,0.3330000000000001,
12,2020-01-08 12:00:00,0.312,0.57,0.57,0.312,0.25799999999999995,
13,2020-01-08 13:00:00,0.282,1.554,1.554,0.282,1.272,
14,2020-01-08 14:00:00,0.186,0.444,0.444,0.186,0.258,
15,2020-01-08 15:00:00,0.063,1.839,1.839,0.063,1.776,
16,2020-01-08 16:00:00,0.033,0.768,0.768,0.033,0.735,
17,2020-01-08 17:00:00,0.009,0.921,0.921,0.009,0.912,
18,2020-01-08 18:00:00,0.0,6.5604,6.5604,0.0,6.5604,
19,2020-01-08 19:00:00,0.018,2.7126,2.7126,0.018,2.6946000000000003,
20,2020-01-08 20:00:00,0.006,2.6664,2.6664,0.006,2.6604,
21,2020-01-08 21:00:00,0.009,9.222,9.222,0.009,9.213,
22,2020-01-08 22:00:00,0.0,1.221,1.221,0.0,1.221,
23,2020-01-08 23:00:00,0.0,1.5078492,1.5078492,0.0,1.5078492,
0,2020-01-09 00:00:00,0.0,0.9919008,0.9919008,0.0,0.9919008,
1,2020-01-09 01:00:00,0.0,0.5419458,0.5419458,0.0,0.5419458,
2,2020-01-09 02:00:00,0.0,0.1219878,0.1219878,0.0,0.1219878,
3,2020-01-09 03:00:00,0.0,0.186,0.186,0.0,0.186,
4,2020-01-09 04:00:00,0.0,0.228,0.228,0.0,0.228,
5,2020-01-09 05:00:00,0.006,0.459,0.459,0.006,0.453,
6,2020-01-09 06:00:00,0.009,0.333,0.333,0.009,0.324,
7,2020-01-09 07:00:00,0.009,0.588,0.588,0.009,0.579,
8,2020-01-09 08:00:00,0.006,1.896,1.896,0.006,1.89,
9,2020-01-09 09:00:00,0.009,1.833,1.833,0.009,1.824,
10,2020-01-09 10:00:00,0.135,1.749,1.749,0.135,1.614,
11,2020-01-09 11:00:00,0.252,1.989,1.989,0.252,1.737,
12,2020-01-09 12:00:00,0.435,0.558,0.558,0.435,0.12300000000000005,
13,2020-01-09 13:00:00,0.249,0.786,0.786,0.249,0.537,
14,2020-01-09 14:00:00,0.21,0.561,0.561,0.21,0.3510000000000001,
15,2020-01-09 15:00:00,0.048,0.537,0.537,0.048,0.48900000000000005,
16,2020-01-09 16:00:00,0.033,0.36,0.36,0.033,0.32699999999999996,
17,2020-01-09 17:00:00,0.012,0.582,0.582,0.012,0.57,
18,2020-01-09 18:00:00,0.006,3.168,3.168,0.006,3.1620000000000004,
19,2020-01-09 19:00:00,0.009,3.0162,3.0162,0.009,3.0072,
20,2020-01-09 20:00:00,0.006,2.2572,2.2572,0.006,2.2512000000000003,
21,2020-01-09 21:00:00,0.015,1.368,1.368,0.015,1.3530000000000002,
22,2020-01-09 22:00:00,0.006,1.383,1.383,0.006,1.377,
23,2020-01-09 23:00:00,0.0,0.7459254,0.7459254,0.0,0.7459254,
0,2020-01-10 00:00:00,0.0,0.7639236,0.7639236,0.0,0.7639236,
1,2020-01-10 01:00:00,0.0,0.4479552,0.4479552,0.0,0.4479552,
2,2020-01-10 02:00:00,0.0,0.2979702,0.2979702,0.0,0.2979702,
3,2020-01-10 03:00:00,0.0,0.204,0.204,0.0,0.204,
4,2020-01-10 04:00:00,0.0,0.177,0.177,0.0,0.177,
5,2020-01-10 05:00:00,0.009,0.21,0.21,0.009,0.20099999999999998,
6,2020-01-10 06:00:00,0.006,0.324,0.324,0.006,0.318,
7,2020-01-10 07:00:00,0.012,0.837,0.837,0.012,0.825,
8,2020-01-10 08:00:00,0.009,2.202,2.202,0.009,2.193,
9,2020-01-10 09:00:00,0.012,0.858,0.858,0.012,0.846,
10,2020-01-10 10:00:00,0.165,1.572,1.572,0.165,1.407,
11,2020-01-10 11:00:00,0.384,1.038,1.038,0.384,0.654,
12,2020-01-10 12:00:00,0.498,0.495,0.495,0.498,,0.0030000000000000027
13,2020-01-10 13:00:00,0.474,0.555,0.555,0.474,0.08100000000000007,
14,2020-01-10 14:00:00,0.396,0.528,0.528,0.396,0.132,
15,2020-01-10 15:00:00,0.27,2.772,2.772,0.27,2.502,
16,2020-01-10 16:00:00,0.045,2.166,2.166,0.045,2.121,
17,2020-01-10 17:00:00,0.009,0.459,0.459,0.009,0.45,
18,2020-01-10 18:00:00,0.012,13.728,13.728,0.012,13.716,
19,2020-01-10 19:00:00,0.015,3.5904,3.5904,0.015,3.5753999999999997,
20,2020-01-10 20:00:00,0.006,6.6726,6.6726,0.006,6.6666,
21,2020-01-10 21:00:00,0.015,2.748,2.748,0.015,2.733,
22,2020-01-10 22:00:00,0.006,2.892,2.892,0.006,2.886,
23,2020-01-10 23:00:00,0.0,1.9478052,1.9478052,0.0,1.9478052,
0,2020-01-11 00:00:00,0.0,1.9378062,1.9378062,0.0,1.9378062,
1,2020-01-11 01:00:00,0.0,0.5359464,0.5359464,0.0,0.5359464,
2,2020-01-11 02:00:00,0.0,0.2959704,0.2959704,0.0,0.2959704,
3,2020-01-11 03:00:00,0.0,0.453,0.453,0.0,0.453,
4,2020-01-11 04:00:00,0.0,0.216,0.216,0.0,0.216,
5,2020-01-11 05:00:00,0.015,0.237,0.237,0.015,0.22199999999999998,
6,2020-01-11 06:00:00,0.006,0.216,0.216,0.006,0.21,
7,2020-01-11 07:00:00,0.021,0.624,0.624,0.021,0.603,
8,2020-01-11 08:00:00,0.012,3.63,3.63,0.012,3.618,
9,2020-01-11 09:00:00,0.165,8.646,8.646,0.165,8.481000000000002,
10,2020-01-11 10:00:00,0.324,0.57,0.57,0.324,0.24599999999999994,
11,2020-01-11 11:00:00,0.687,0.453,0.453,0.687,,0.23400000000000004
12,2020-01-11 12:00:00,0.246,0.447,0.447,0.246,0.201,
13,2020-01-11 13:00:00,0.627,0.414,0.414,0.627,,0.21300000000000002
14,2020-01-11 14:00:00,0.582,2.334,2.334,0.582,1.7520000000000002,
15,2020-01-11 15:00:00,0.186,1.128,1.128,0.186,0.942,
16,2020-01-11 16:00:00,0.036,0.678,0.678,0.036,0.642,
17,2020-01-11 17:00:00,0.018,0.627,0.627,0.018,0.609,
18,2020-01-11 18:00:00,0.003,14.1372,14.1372,0.003,14.1342,
19,2020-01-11 19:00:00,0.003,3.1548,3.1548,0.003,3.1517999999999997,
20,2020-01-11 20:00:00,0.012,2.9568,2.9568,0.012,2.9448,
21,2020-01-11 21:00:00,0.012,6.066,6.066,0.012,6.054,
22,2020-01-11 22:00:00,0.015,1.872,1.872,0.015,1.8570000000000002,
23,2020-01-11 23:00:00,0.0,1.0118988,1.0118988,0.0,1.0118988,
0,2020-01-12 00:00:00,0.0,0.669933,0.669933,0.0,0.669933,
1,2020-01-12 01:00:00,0.0,1.1418858,1.1418858,0.0,1.1418858,
2,2020-01-12 02:00:00,0.0,1.1378862,1.1378862,0.0,1.1378862,
3,2020-01-12 03:00:00,0.0,0.426,0.426,0.0,0.426,
4,2020-01-12 04:00:00,0.0,0.189,0.189,0.0,0.189,
5,2020-01-12 05:00:00,0.006,0.213,0.213,0.006,0.207,
6,2020-01-12 06:00:00,0.003,0.204,0.204,0.003,0.20099999999999998,
7,2020-01-12 07:00:00,0.009,0.507,0.507,0.009,0.498,
8,2020-01-12 08:00:00,0.012,1.833,1.833,0.012,1.821,
9,2020-01-12 09:00:00,0.582,0.69,0.69,0.582,0.10799999999999998,
10,2020-01-12 10:00:00,0.951,0.444,0.444,0.951,,0.5069999999999999
11,2020-01-12 11:00:00,3.315,0.387,0.387,3.315,,2.928
12,2020-01-12 12:00:00,5.214,0.0,0.0,5.214,,5.214
13,2020-01-12 13:00:00,4.848,0.573,0.573,4.848,,4.275
14,2020-01-12 14:00:00,0.777,0.459,0.459,0.777,,0.318
15,2020-01-12 15:00:00,0.411,0.246,0.246,0.411,,0.16499999999999998
16,2020-01-12 16:00:00,0.06,0.363,0.363,0.06,0.303,
17,2020-01-12 17:00:00,0.015,0.72,0.72,0.015,0.705,
18,2020-01-12 18:00:00,0.003,14.9358,14.9358,0.003,14.9328,
19,2020-01-12 19:00:00,0.012,4.0656,4.0656,0.012,4.0536,
20,2020-01-12 20:00:00,0.0,3.2142,3.2142,0.0,3.2142,
21,2020-01-12 21:00:00,0.006,1.518,1.518,0.006,1.512,
22,2020-01-12 22:00:00,0.015,1.623,1.623,0.015,1.608,
23,2020-01-12 23:00:00,0.0,1.1578842,1.1578842,0.0,1.1578842,
0,2020-01-13 00:00:00,0.0,1.68,1.68,0.0,1.68,
1,2020-01-13 01:00:00,0.0,1.6558344,1.6558344,0.0,1.6558344,
2,2020-01-13 02:00:00,0.0,0.1219878,0.1219878,0.0,0.1219878,
3,2020-01-13 03:00:00,0.0,0.183,0.183,0.0,0.183,
4,2020-01-13 04:00:00,0.0,0.19,0.19,0.0,0.19,
5,2020-01-13 05:00:00,0.009,0.216,0.216,0.009,0.207,
6,2020-01-13 06:00:00,0.018,0.225,0.225,0.018,0.20700000000000002,
7,2020-01-13 07:00:00,0.018,0.231,0.231,0.018,0.21300000000000002,
8,2020-01-13 08:00:00,0.003,0.867,0.867,0.003,0.864,
9,2020-01-13 09:00:00,0.324,1.743,1.743,0.324,1.419,
10,2020-01-13 10:00:00,1.128,1.173,1.173,1.128,0.04500000000000015,
11,2020-01-13 11:00:00,0.474,0.552,0.552,0.474,0.07800000000000007,
12,2020-01-13 12:00:00,0.33,0.441,0.441,0.33,0.11099999999999999,
13,2020-01-13 13:00:00,0.564,0.828,0.828,0.564,0.264,
14,2020-01-13 14:00:00,0.195,1.338,1.338,0.195,1.143,
15,2020-01-13 15:00:00,0.084,1.26,1.26,0.084,1.176,
16,2020-01-13 16:00:00,0.036,1.875,1.875,0.036,1.839,
17,2020-01-13 17:00:00,0.0,2.265,2.265,0.0,2.265,
18,2020-01-13 18:00:00,0.003,3.4386,3.4386,0.003,3.4356,
19,2020-01-13 19:00:00,0.015,11.2992,11.2992,0.015,11.2842,
20,2020-01-13 20:00:00,0.0,15.4242,15.4242,0.0,15.4242,
21,2020-01-13 21:00:00,0.009,1.308,1.308,0.009,1.2990000000000002,
22,2020-01-13 22:00:00,0.012,3.147,3.147,0.012,3.135,
23,2020-01-13 23:00:00,0.0,2.1977802,2.1977802,0.0,2.1977802,
0,2020-01-14 00:00:00,0.0,2.239776,2.239776,0.0,2.239776,
1,2020-01-14 01:00:00,0.0,0.8159184,0.8159184,0.0,0.8159184,
2,2020-01-14 02:00:00,0.0,0.219978,0.219978,0.0,0.219978,
3,2020-01-14 03:00:00,0.0,0.309,0.309,0.0,0.309,
4,2020-01-14 04:00:00,0.0,0.324,0.324,0.0,0.324,
5,2020-01-14 05:00:00,0.003,0.579,0.579,0.003,0.576,
6,2020-01-14 06:00:00,0.012,0.225,0.225,0.012,0.213,
7,2020-01-14 07:00:00,0.015,0.237,0.237,0.015,0.22199999999999998,
8,2020-01-14 08:00:00,0.012,0.516,0.516,0.012,0.504,
9,2020-01-14 09:00:00,0.0,7.308,7.308,0.0,7.308,
10,2020-01-14 10:00:00,0.21,2.469,2.469,0.21,2.259,
11,2020-01-14 11:00:00,0.387,2.775,2.775,0.387,2.388,
12,2020-01-14 12:00:00,0.372,8.262,8.262,0.372,7.890000000000001,
13,2020-01-14 13:00:00,0.381,8.409,8.409,0.381,8.028,
14,2020-01-14 14:00:00,0.861,2.799,2.799,0.861,1.938,
15,2020-01-14 15:00:00,0.324,3.021,3.021,0.324,2.697,
16,2020-01-14 16:00:00,0.084,2.523,2.523,0.084,2.439,
17,2020-01-14 17:00:00,0.0,2.676,2.676,0.0,2.676,
18,2020-01-14 18:00:00,0.006,4.6068,4.6068,0.006,4.6008,
19,2020-01-14 19:00:00,0.003,3.1086,3.1086,0.003,3.1056,
20,2020-01-14 20:00:00,0.012,4.026,4.026,0.012,4.014,
21,2020-01-14 21:00:00,0.009,1.935,1.935,0.009,1.9260000000000002,
22,2020-01-14 22:00:00,0.009,1.485,1.485,0.009,1.4760000000000002,
23,2020-01-14 23:00:00,0.0,1.1818818,1.1818818,0.0,1.1818818,
0,2020-01-15 00:00:00,0.0,0.909909,0.909909,0.0,0.909909,
1,2020-01-15 01:00:00,0.0,0.3119688,0.3119688,0.0,0.3119688,
2,2020-01-15 02:00:00,0.0,0.119988,0.119988,0.0,0.119988,
3,2020-01-15 03:00:00,0.0,0.198,0.198,0.0,0.198,
4,2020-01-15 04:00:00,0.0,0.21,0.21,0.0,0.21,
5,2020-01-15 05:00:00,0.009,0.504,0.504,0.009,0.495,
6,2020-01-15 06:00:00,0.015,0.456,0.456,0.015,0.441,
7,2020-01-15 07:00:00,0.003,0.609,0.609,0.003,0.606,
8,2020-01-15 08:00:00,0.003,1.488,1.488,0.003,1.485,
9,2020-01-15 09:00:00,0.009,0.462,0.462,0.009,0.453,
10,2020-01-15 10:00:00,0.348,0.24,0.24,0.348,,0.10799999999999998
11,2020-01-15 11:00:00,0.417,0.252,0.252,0.417,,0.16499999999999998
12,2020-01-15 12:00:00,0.333,0.228,0.228,0.333,,0.10500000000000001
13,2020-01-15 13:00:00,0.33,0.489,0.489,0.33,0.15899999999999997,
14,2020-01-15 14:00:00,0.372,0.327,0.327,0.372,,0.044999999999999984
15,2020-01-15 15:00:00,0.087,0.354,0.354,0.087,0.267,
16,2020-01-15 16:00:00,0.069,0.369,0.369,0.069,0.3,
17,2020-01-15 17:00:00,0.012,0.6,0.6,0.012,0.588,
18,2020-01-15 18:00:00,0.009,5.1282,5.1282,0.009,5.119199999999999,
19,2020-01-15 19:00:00,0.003,2.6136,2.6136,0.003,2.6106,
20,2020-01-15 20:00:00,0.012,6.8046,6.8046,0.012,6.7926,
21,2020-01-15 21:00:00,0.009,3.012,3.012,0.009,3.003,
22,2020-01-15 22:00:00,0.0,2.817,2.817,0.0,2.817,
23,2020-01-15 23:00:00,0.0,0.789921,0.789921,0.0,0.789921,
0,2020-01-16 00:00:00,0.0,0.8339166,0.8339166,0.0,0.8339166,
1,2020-01-16 01:00:00,0.0,0.389961,0.389961,0.0,0.389961,
2,2020-01-16 02:00:00,0.0,0.1979802,0.1979802,0.0,0.1979802,
3,2020-01-16 03:00:00,0.0,0.288,0.288,0.0,0.288,
4,2020-01-16 04:00:00,0.0,0.288,0.288,0.0,0.288,
5,2020-01-16 05:00:00,0.003,0.219,0.219,0.003,0.216,
